time,cmd_speed,cmd_steer,x,y,yaw,v_actual,yaw_rate
5255.732,2.659316062927246,0.10390590131282806,19.27445400308814,-2.1749492017294587,-0.2994576951004358,1.7728868130655344,0.27355562255708377
5255.733,2.659316062927246,0.10390590131282806,19.276147126258035,-2.1754716506748015,-0.29918353199105335,1.773498634559496,0.2732293877608509
5255.734,2.659316062927246,0.10390590131282806,19.277840981033613,-2.175993812718949,-0.29890970876868245,1.7741136680727685,0.2728894408424626
5255.735,2.659316062927246,0.10390590131282806,19.279535570046924,-2.1765156895524016,-0.2986362390479874,1.7747318721461218,0.2725358646481657
5255.736,2.659316062927246,0.10390590131282806,19.281230895890733,-2.177037282820349,-0.2983631362892963,1.7753531880785558,0.27216881384120406
5255.737,2.659316062927246,0.10390590131282806,19.28292696109809,-2.177558594131133,-0.2980904137254421,1.7759775405195433,0.2717885143012829
5255.738,2.659316062927246,0.10390590131282806,19.284623768124366,-2.178079625057191,-0.29781808429127,1.7766048379186394,0.2713952618750979
5255.739,2.659316062927246,0.10390590131282806,19.286321319331073,-2.1786003771344578,-0.297546160556436,1.7772349733540063,0.27098942023083095
5255.74,2.659316062927246,0.10390590131282806,19.28801961697121,-2.1791208518611294,-0.2972746546606476,1.7778678255143037,0.27057141791648776
5255.741,2.659316062927246,0.10390590131282806,19.289718663175478,-2.1796410506961545,-0.297003578252699,1.7785032598160562,0.2701417447202911
5255.742,2.659316062927246,0.10390590131282806,19.291418459939933,-2.180160975057643,-0.29673294243386406,1.7791411295513713,0.2697009474961055
5255.743,2.659316062927246,0.10390590131282806,19.293119009115088,-2.180680626321288,-0.2964627577057823,1.7797812770573862,0.26924962563219196
5255.744,2.659316062927246,0.10390590131282806,19.29482031239567,-2.181200005817298,-0.29619303392183005,1.7804235349102777,0.2687884263026054
5255.745,2.659316062927246,0.10390590131282806,19.29652237131271,-2.181719114828352,-0.2959237802450489,1.7810677271956616,0.26831803943181026
5255.746,2.659316062927246,0.10390590131282806,19.298225187226077,-2.1822379545874675,-0.2956550051107904,1.7817136707177326,0.2678391925515902
5255.747,2.659316062927246,0.10390590131282806,19.299928761318768,-2.1827565262751922,-0.295386716194606,1.7823611762325295,0.26735264558739963
5255.747,2.659316062927246,0.10390590131282806,19.30163309459243,-2.1832748310165955,-0.2951189203850764,1.7830100496888033,0.26685918560786254
5255.749,2.659316062927246,0.10390590131282806,19.303338187863883,-2.183792869879002,-0.29485162376230833,1.7836600934707,0.26635962157872334
5255.749,2.659316062927246,0.10390590131282806,19.305044041763132,-2.1843106438695226,-0.29458483158128745,1.7843111076192955,0.2658547790906422
5255.751,2.659316062927246,0.10390590131282806,19.306750656732337,-2.1848281539327457,-0.2943185482606351,1.784962891040285,0.265345495142376
5255.752,2.659316062927246,0.10390590131282806,19.308458033026096,-2.1853454009493247,-0.2940527773768025,1.7856152426917622,0.2648326129812198
